Word,Frequency,Rank
such,3,973
close,3,974
demi-sec,3,975
provence,3,976
fruitcake,3,977
background.,3,978
gutsy,3,979
engaging,3,980
stunning.,3,981
reductive,3,982
otherwise,3,983
pink,3,984
peach,3,985
mellow,3,986
score,3,987
oddbins,3,988
honeysuckle,3,989
freshness,3,990
"liquorice,",3,991
recently,3,992
usual,3,993
whiff,3,994
spritz.,3,995
reserved.,3,996
stirred.,3,997
somehow,3,998
is.,3,999
curiously,3,1000
certain,3,1001
vegetal.,3,1002
residual,3,1003
maderised,3,1004
absolutely,3,1005
loads,3,1006
grape,3,1007
nectarine,3,1008
higher-toned,3,1009
occasionally,3,1010
complete,3,1011
"light,",3,1012
them,3,1013
soon.,3,1014
reveal,3,1015
bought,3,1016
poured,3,1017
around,3,1018
noticable,3,1019
recall,3,1020
(very,3,1021
follows,3,1022
fascinating,3,1023
intersting,3,1024
problems,3,1025
own,3,1026
"cedary,",3,1027
idea,3,1028
lunch.,3,1029
bottles.,3,1030
"honied,",3,1031
evolved.,3,1032
decide,3,1033
blackcurrant,3,1034
takes,3,1035
car,3,1036
flavour.,3,1037
for.,3,1038
easier,3,1039
maturing,3,1040
anything.,3,1041
fineness,3,1042
sweetness.,3,1043
quickly.,3,1044
"drier,",3,1045
creamy.,3,1046
"be,",3,1047
deeply,3,1048
puligny,3,1049
reveals,3,1050
potential.,3,1051
refined.,3,1052
smoky.,3,1053
rounder,3,1054
five,3,1055
"honey,",3,1056
this:,3,1057
positive,3,1058
"broad,",3,1059
steely,3,1060
still.,3,1061
feeling,3,1062
luscious,3,1063
mushrooms,3,1064
gingery,3,1065
sophisticated,3,1066
"cellar,",3,1067
large,3,1068
extent,3,1069
"opening,",3,1070
days,3,1071
sweeter,3,1072
first.,3,1073
striking.,3,1074
(and,3,1075
leesy,3,1076
cote,3,1077
glasses,3,1078
go,3,1079
grenache,3,1080
dull.,3,1081
overall,3,1082
liquorice,3,1083
champagne.,3,1084
strawberries,3,1085
mid-palate.,3,1086
pichon,3,1087
"burnt,",3,1088
"thing,",3,1089
96.,3,1090
coarse.,3,1091
grassy,3,1092
according,3,1093
off-dry.,3,1094
easy-going.,3,1095
volatile.,3,1096
bottled,3,1097
"tangy,",3,1098
tea,3,1099
drank,3,1100
common,3,1101
old.,3,1102
upstaged,3,1103
present,3,1104
single,3,1105
"gentle,",3,1106
wears,3,1107
tannin.,3,1108
tend,3,1109
become,3,1110
chunky,3,1111
expecting,3,1112
ago.,3,1113
between,3,1114
gummy,3,1115
type.,3,1116
"bottle,",3,1117
clarety,3,1118
worry,3,1119
la,3,1120
there.,3,1121
french,3,1122
(although,3,1123
sit,3,1124
rusticity,3,1125
irony,3,1126
silky.,3,1127
spritzy,3,1128
ought,3,1129
surprisingly,3,1130
limey,3,1131
many,3,1132
influence.,3,1133
fear,2,1134
2000.,2,1135
lost,2,1136
"classy,",2,1137
suave,2,1138
"frothy,",2,1139
tasting,2,1140
attention.,2,1141
"classic,",2,1142
strength,2,1143
nothing,2,1144
"above,",2,1145
decade,2,1146
"possibly,",2,1147
swiss,2,1148
open.,2,1149
"think,",2,1150
flatter,2,1151
phase.,2,1152
"showing,",2,1153
approaching,2,1154
got,2,1155
gluey,2,1156
delineated,2,1157
"full,",2,1158
kept,2,1159
modern-style,2,1160
respectable,2,1161
immediate,2,1162
delightful.,2,1163
dryness,2,1164
statement.,2,1165
admire,2,1166
emilion.,2,1167
chianti,2,1168
stylish.,2,1169
score.,2,1170
reminder,2,1171
tart,2,1172
balancing,2,1173
liquorice.,2,1174
all-round,2,1175
90.,2,1176
(in,2,1177
"taught,",2,1178
leaves,2,1179
fantastic.,2,1180
perfumed.,2,1181
"solid,",2,1182
else,2,1183
simply,2,1184
finishes,2,1185
friends,2,1186
cold,2,1187
reserve,2,1188
"precise,",2,1189
whilst,2,1190
unforthcoming,2,1191
latter,2,1192
flabby.,2,1193
expected,2,1194
"sugar,",2,1195
floral.,2,1196
lightweight.,2,1197
digestible.,2,1198
"really,",2,1199
"old,",2,1200
impressive,2,1201
longer.,2,1202
eight,2,1203
consume.,2,1204
notable,2,1205
company,2,1206
"flavoursome,",2,1207
chablis.,2,1208
wildly,2,1209
unpleasant,2,1210
chalky,2,1211
piquant.,2,1212
flowers.,2,1213
ljm,2,1214
"gutsy,",2,1215
liquor,2,1216
either.,2,1217
over.,2,1218
general,2,1219
overwrought,2,1220
eminently,2,1221
tarry.,2,1222
delight,2,1223
credit,2,1224
"gummy,",2,1225
cream,2,1226
quick,2,1227
"evolved,",2,1228
mothbally,2,1229
"vibrant,",2,1230
corks,2,1231
"stylish,",2,1232
raisiny,2,1233
satisfying,2,1234
style:,2,1235
sunday,2,1236
"blackcurrant,",2,1237
alcohol.,2,1238
course.,2,1239
place,2,1240
vineyard.,2,1241
blend.,2,1242
found,2,1243
let's,2,1244
had.,2,1245
danger,2,1246
keen.,2,1247
hardly,2,1248
somebody,2,1249
hurry.,2,1250
sugar.,2,1251
oaky,2,1252
mint.,2,1253
